blue,90,710,35,35,
red,500,700,35,35,
blue,720,700,35,35,
platform long,0,650,350,30,
platform short,770,650,170,30,
yellow_button,70,630,40,20, 
water,210,630,125,20,
platform long,450,580,350,30,
lava,540,560,125,20,
red,580,530,35,35,
yellow_bar,0,480,130,20,
platform short,130,480,170,30,
platform long,300,480,350,30,
platform long,650,480,350,30,
purple_button1,420,460,40,20, 
blue,900,410,35,35,
platform long,0,310,350,30,
platform long,350,310,350,30,
purple_bar,700,310,130,20,
platform short,830,310,170,30,
purple_button2,890,290,40,20, 
red,190,270,35,35,
red,950,270,35,35,
boy_door,20,240,60,70,
platform short,430,170,170,30,
platform long,0,90,350,30,
platform long,650,90,350,30,
blue,40,40,35,35,
red,740,40,35,35,
girl_door,920,20,60,70,
